era,abs_margin,era_median,era_blowout
1897 to 1929,16.0,22,15% blowouts
1897 to 1929,48.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,87.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,38.0,22,15% blowouts
1897 to 1929,37.0,22,15% blowouts
1897 to 1929,23.0,22,15% blowouts
1897 to 1929,93.0,22,15% blowouts
1897 to 1929,89.0,22,15% blowouts
1897 to 1929,53.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,51.0,22,15% blowouts
1897 to 1929,51.0,22,15% blowouts
1897 to 1929,53.0,22,15% blowouts
1897 to 1929,47.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,39.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,46.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,35.0,22,15% blowouts
1897 to 1929,32.0,22,15% blowouts
1897 to 1929,38.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,0.0,22,15% blowouts
1897 to 1929,29.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,60.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,62.0,22,15% blowouts
1897 to 1929,79.0,22,15% blowouts
1897 to 1929,57.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,19.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,37.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,72.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,36.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,33.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,161.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,32.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,36.0,22,15% blowouts
1897 to 1929,32.0,22,15% blowouts
1897 to 1929,37.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,33.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,60.0,22,15% blowouts
1897 to 1929,38.0,22,15% blowouts
1897 to 1929,84.0,22,15% blowouts
1897 to 1929,56.0,22,15% blowouts
1897 to 1929,33.0,22,15% blowouts
1897 to 1929,26.0,22,15% blowouts
1897 to 1929,33.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,29.0,22,15% blowouts
1897 to 1929,28.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,77.0,22,15% blowouts
1897 to 1929,59.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,67.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,29.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,67.0,22,15% blowouts
1897 to 1929,28.0,22,15% blowouts
1897 to 1929,50.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,84.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,40.0,22,15% blowouts
1897 to 1929,96.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,23.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,16.0,22,15% blowouts
1897 to 1929,46.0,22,15% blowouts
1897 to 1929,0.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,1.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,16.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,33.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,34.0,22,15% blowouts
1897 to 1929,44.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,36.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,40.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,45.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,40.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,43.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,45.0,22,15% blowouts
1897 to 1929,23.0,22,15% blowouts
1897 to 1929,82.0,22,15% blowouts
1897 to 1929,69.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,1.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,26.0,22,15% blowouts
1897 to 1929,0.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,41.0,22,15% blowouts
1897 to 1929,50.0,22,15% blowouts
1897 to 1929,65.0,22,15% blowouts
1897 to 1929,44.0,22,15% blowouts
1897 to 1929,56.0,22,15% blowouts
1897 to 1929,53.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,34.0,22,15% blowouts
1897 to 1929,78.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,35.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,62.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,59.0,22,15% blowouts
1897 to 1929,62.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,35.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,16.0,22,15% blowouts
1897 to 1929,63.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,19.0,22,15% blowouts
1897 to 1929,36.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,28.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,66.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,49.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,56.0,22,15% blowouts
1897 to 1929,59.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,26.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,37.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,60.0,22,15% blowouts
1897 to 1929,45.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,71.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,48.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,30.0,22,15% blowouts
1897 to 1929,37.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,1.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,26.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,33.0,22,15% blowouts
1897 to 1929,26.0,22,15% blowouts
1897 to 1929,34.0,22,15% blowouts
1897 to 1929,28.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,39.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,23.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,26.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,74.0,22,15% blowouts
1897 to 1929,30.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,37.0,22,15% blowouts
1897 to 1929,72.0,22,15% blowouts
1897 to 1929,36.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,65.0,22,15% blowouts
1897 to 1929,1.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,66.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,35.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,46.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,70.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,47.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,93.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,34.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,56.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,46.0,22,15% blowouts
1897 to 1929,67.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,96.0,22,15% blowouts
1897 to 1929,30.0,22,15% blowouts
1897 to 1929,141.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,46.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,43.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,32.0,22,15% blowouts
1897 to 1929,43.0,22,15% blowouts
1897 to 1929,29.0,22,15% blowouts
1897 to 1929,34.0,22,15% blowouts
1897 to 1929,33.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,0.0,22,15% blowouts
1897 to 1929,32.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,37.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,63.0,22,15% blowouts
1897 to 1929,22.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,68.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,48.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,23.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,1.0,22,15% blowouts
1897 to 1929,29.0,22,15% blowouts
1897 to 1929,80.0,22,15% blowouts
1897 to 1929,26.0,22,15% blowouts
1897 to 1929,33.0,22,15% blowouts
1897 to 1929,23.0,22,15% blowouts
1897 to 1929,12.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,40.0,22,15% blowouts
1897 to 1929,42.0,22,15% blowouts
1897 to 1929,75.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,35.0,22,15% blowouts
1897 to 1929,30.0,22,15% blowouts
1897 to 1929,35.0,22,15% blowouts
1897 to 1929,38.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,31.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,25.0,22,15% blowouts
1897 to 1929,24.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,56.0,22,15% blowouts
1897 to 1929,79.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,77.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,34.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,36.0,22,15% blowouts
1897 to 1929,32.0,22,15% blowouts
1897 to 1929,1.0,22,15% blowouts
1897 to 1929,51.0,22,15% blowouts
1897 to 1929,0.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,3.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,18.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,44.0,22,15% blowouts
1897 to 1929,19.0,22,15% blowouts
1897 to 1929,71.0,22,15% blowouts
1897 to 1929,58.0,22,15% blowouts
1897 to 1929,58.0,22,15% blowouts
1897 to 1929,26.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,11.0,22,15% blowouts
1897 to 1929,28.0,22,15% blowouts
1897 to 1929,36.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,21.0,22,15% blowouts
1897 to 1929,63.0,22,15% blowouts
1897 to 1929,23.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,34.0,22,15% blowouts
1897 to 1929,30.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,52.0,22,15% blowouts
1897 to 1929,50.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,16.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,38.0,22,15% blowouts
1897 to 1929,46.0,22,15% blowouts
1897 to 1929,62.0,22,15% blowouts
1897 to 1929,15.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,57.0,22,15% blowouts
1897 to 1929,94.0,22,15% blowouts
1897 to 1929,73.0,22,15% blowouts
1897 to 1929,9.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,38.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,36.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,28.0,22,15% blowouts
1897 to 1929,28.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,10.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,8.0,22,15% blowouts
1897 to 1929,20.0,22,15% blowouts
1897 to 1929,7.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,78.0,22,15% blowouts
1897 to 1929,6.0,22,15% blowouts
1897 to 1929,23.0,22,15% blowouts
1897 to 1929,16.0,22,15% blowouts
1897 to 1929,41.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,52.0,22,15% blowouts
1897 to 1929,19.0,22,15% blowouts
1897 to 1929,66.0,22,15% blowouts
1897 to 1929,40.0,22,15% blowouts
1897 to 1929,14.0,22,15% blowouts
1897 to 1929,41.0,22,15% blowouts
1897 to 1929,60.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,13.0,22,15% blowouts
1897 to 1929,34.0,22,15% blowouts
1897 to 1929,56.0,22,15% blowouts
1897 to 1929,2.0,22,15% blowouts
1897 to 1929,4.0,22,15% blowouts
1897 to 1929,27.0,22,15% blowouts
1897 to 1929,17.0,22,15% blowouts
1897 to 1929,50.0,22,15% blowouts
1897 to 1929,68.0,22,15% blowouts
1897 to 1929,37.0,22,15% blowouts
1897 to 1929,44.0,22,15% blowouts
1897 to 1929,5.0,22,15% blowouts
1897 to 1929,70.0,22,15% blowouts
